Country,Year,Attacks
 PHILIPPINES,1944.0,1
 TONGA,2004.0,2
 TONGA,2000.0,1
AFRICA,1846.0,1
ALGERIA,1844.0,1
AMERICAN SAMOA,1954.0,1
AMERICAN SAMOA,1955.0,1
AMERICAN SAMOA,1958.0,1
ANDAMAN / NICOBAR ISLANDAS,1958.0,1
ANDAMAN ISLANDS,1863.0,1
ANGOLA,1993.0,1
ARGENTINA,1954.0,1
ARUBA,2015.0,1
ASIA?,0.0,1
ATLANTIC OCEAN,1942.0,2
ATLANTIC OCEAN,2006.0,2
ATLANTIC OCEAN,1882.0,1
ATLANTIC OCEAN,1885.0,1
ATLANTIC OCEAN,1890.0,1
ATLANTIC OCEAN,1892.0,1
ATLANTIC OCEAN,1916.0,1
ATLANTIC OCEAN,1941.0,1
ATLANTIC OCEAN,1959.0,1
AUSTRALIA,2016.0,29
AUSTRALIA,2015.0,28
AUSTRALIA,2009.0,27
AUSTRALIA,2014.0,26
AUSTRALIA,2012.0,22
AUSTRALIA,2018.0,22
AUSTRALIA,2017.0,21
AUSTRALIA,1929.0,19
AUSTRALIA,1961.0,19
AUSTRALIA,1936.0,17
AUSTRALIA,2010.0,17
AUSTRALIA,2013.0,17
AUSTRALIA,2005.0,16
AUSTRALIA,2007.0,16
AUSTRALIA,2011.0,16
AUSTRALIA,1934.0,15
AUSTRALIA,2008.0,15
AUSTRALIA,1959.0,14
AUSTRALIA,1960.0,14
AUSTRALIA,1966.0,14
AUSTRALIA,0.0,13
AUSTRALIA,1937.0,13
AUSTRALIA,2004.0,13
AUSTRALIA,1935.0,12
AUSTRALIA,2000.0,12
AUSTRALIA,2006.0,12
AUSTRALIA,1949.0,11
AUSTRALIA,1989.0,11
AUSTRALIA,2002.0,11
AUSTRALIA,1923.0,10
AUSTRALIA,1933.0,10
AUSTRALIA,1950.0,10
AUSTRALIA,2003.0,10
AUSTRALIA,1927.0,9
AUSTRALIA,1940.0,9
AUSTRALIA,1953.0,9
AUSTRALIA,1956.0,9
AUSTRALIA,1963.0,9
AUSTRALIA,1975.0,9
AUSTRALIA,1990.0,9
AUSTRALIA,1996.0,9
AUSTRALIA,1916.0,8
AUSTRALIA,1928.0,8
AUSTRALIA,1938.0,8
AUSTRALIA,1946.0,8
AUSTRALIA,1947.0,8
AUSTRALIA,1951.0,8
AUSTRALIA,1962.0,8
AUSTRALIA,1997.0,8
AUSTRALIA,2001.0,8
AUSTRALIA,1877.0,7
AUSTRALIA,1919.0,7
AUSTRALIA,1920.0,7
AUSTRALIA,1922.0,7
AUSTRALIA,1930.0,7
AUSTRALIA,1991.0,7
AUSTRALIA,1915.0,6
AUSTRALIA,1931.0,6
AUSTRALIA,1932.0,6
AUSTRALIA,1942.0,6
AUSTRALIA,1948.0,6
AUSTRALIA,1954.0,6
AUSTRALIA,1964.0,6
AUSTRALIA,1967.0,6
AUSTRALIA,1977.0,6
AUSTRALIA,1995.0,6
AUSTRALIA,1882.0,5
AUSTRALIA,1883.0,5
AUSTRALIA,1886.0,5
AUSTRALIA,1895.0,5
AUSTRALIA,1914.0,5
AUSTRALIA,1921.0,5
AUSTRALIA,1955.0,5
AUSTRALIA,1957.0,5
AUSTRALIA,1988.0,5
AUSTRALIA,1992.0,5
AUSTRALIA,1993.0,5
AUSTRALIA,1892.0,4
AUSTRALIA,1896.0,4
AUSTRALIA,1906.0,4
AUSTRALIA,1907.0,4
AUSTRALIA,1912.0,4
AUSTRALIA,1924.0,4
AUSTRALIA,1926.0,4
AUSTRALIA,1939.0,4
AUSTRALIA,1952.0,4
AUSTRALIA,1965.0,4
AUSTRALIA,1968.0,4
AUSTRALIA,1971.0,4
AUSTRALIA,1972.0,4
AUSTRALIA,1983.0,4
AUSTRALIA,1987.0,4
AUSTRALIA,1998.0,4
AUSTRALIA,1855.0,3
AUSTRALIA,1863.0,3
AUSTRALIA,1876.0,3
AUSTRALIA,1880.0,3
AUSTRALIA,1888.0,3
AUSTRALIA,1900.0,3
AUSTRALIA,1902.0,3
AUSTRALIA,1903.0,3
AUSTRALIA,1909.0,3
AUSTRALIA,1910.0,3
AUSTRALIA,1911.0,3
AUSTRALIA,1913.0,3
AUSTRALIA,1918.0,3
AUSTRALIA,1925.0,3
AUSTRALIA,1941.0,3
AUSTRALIA,1958.0,3
AUSTRALIA,1969.0,3
AUSTRALIA,1974.0,3
AUSTRALIA,1986.0,3
AUSTRALIA,1832.0,2
AUSTRALIA,1847.0,2
AUSTRALIA,1849.0,2
AUSTRALIA,1853.0,2
AUSTRALIA,1870.0,2
AUSTRALIA,1874.0,2
AUSTRALIA,1875.0,2
AUSTRALIA,1878.0,2
AUSTRALIA,1884.0,2
AUSTRALIA,1889.0,2
AUSTRALIA,1901.0,2
AUSTRALIA,1905.0,2
AUSTRALIA,1943.0,2
AUSTRALIA,1944.0,2
AUSTRALIA,1976.0,2
AUSTRALIA,1978.0,2
AUSTRALIA,1981.0,2
AUSTRALIA,1982.0,2
AUSTRALIA,1984.0,2
AUSTRALIA,1985.0,2
AUSTRALIA,1999.0,2
AUSTRALIA,1825.0,1
AUSTRALIA,1837.0,1
AUSTRALIA,1839.0,1
AUSTRALIA,1840.0,1
AUSTRALIA,1841.0,1
AUSTRALIA,1842.0,1
AUSTRALIA,1845.0,1
AUSTRALIA,1852.0,1
AUSTRALIA,1856.0,1
AUSTRALIA,1858.0,1
AUSTRALIA,1860.0,1
AUSTRALIA,1861.0,1
AUSTRALIA,1862.0,1
AUSTRALIA,1868.0,1
AUSTRALIA,1869.0,1
AUSTRALIA,1871.0,1
AUSTRALIA,1873.0,1
AUSTRALIA,1879.0,1
AUSTRALIA,1885.0,1
AUSTRALIA,1890.0,1
AUSTRALIA,1891.0,1
AUSTRALIA,1893.0,1
AUSTRALIA,1894.0,1
AUSTRALIA,1898.0,1
AUSTRALIA,1899.0,1
AUSTRALIA,1904.0,1
AUSTRALIA,1908.0,1
AUSTRALIA,1917.0,1
AUSTRALIA,1945.0,1
AUSTRALIA,1973.0,1
AUSTRALIA,1979.0,1
AUSTRALIA,1980.0,1
AUSTRALIA,1994.0,1
AZORES,2009.0,1
AZORES,2010.0,1
BAHAMAS,2017.0,8
BAHAMAS,2013.0,6
BAHAMAS,1988.0,5
BAHAMAS,1965.0,3
BAHAMAS,1983.0,3
BAHAMAS,2001.0,3
BAHAMAS,2007.0,3
BAHAMAS,2008.0,3
BAHAMAS,2009.0,3
BAHAMAS,2015.0,3
BAHAMAS,2016.0,3
BAHAMAS,0.0,2
BAHAMAS,1958.0,2
BAHAMAS,1968.0,2
BAHAMAS,1987.0,2
BAHAMAS,1994.0,2
BAHAMAS,1997.0,2
BAHAMAS,2003.0,2
BAHAMAS,2006.0,2
BAHAMAS,2010.0,2
BAHAMAS,2011.0,2
BAHAMAS,2012.0,2
BAHAMAS,2014.0,2
BAHAMAS,2018.0,2
BAHAMAS,1860.0,1
BAHAMAS,1872.0,1
BAHAMAS,1887.0,1
BAHAMAS,1892.0,1
BAHAMAS,1895.0,1
BAHAMAS,1899.0,1
BAHAMAS,1916.0,1
BAHAMAS,1932.0,1
BAHAMAS,1939.0,1
BAHAMAS,1942.0,1
BAHAMAS,1947.0,1
BAHAMAS,1948.0,1
BAHAMAS,1966.0,1
BAHAMAS,1967.0,1
BAHAMAS,1973.0,1
BAHAMAS,1981.0,1
BAHAMAS,1982.0,1
BAHAMAS,1986.0,1
BAHAMAS,1989.0,1
BAHAMAS,1990.0,1
BAHAMAS,1992.0,1
BAHAMAS,1993.0,1
BAHAMAS,1996.0,1
BAHAMAS,1998.0,1
BAHAMAS,1999.0,1
BAHAMAS,2002.0,1
BAHAMAS,2004.0,1
BAHAMAS,2005.0,1
BAHREIN,0.0,1
BARBADOS,1700.0,1
BARBADOS,1703.0,1
BARBADOS,1786.0,1
BARBADOS,1895.0,1
BARBADOS,1922.0,1
BAY OF BENGAL,1942.0,1
BELIZE,0.0,1
BELIZE,2013.0,1
BERMUDA,1934.0,2
BERMUDA,0.0,1
BERMUDA,1954.0,1
BERMUDA,1960.0,1
BERMUDA,1961.0,1
BERMUDA,1967.0,1
BERMUDA,1975.0,1
BRAZIL,1994.0,9
BRAZIL,2002.0,6
BRAZIL,2004.0,6
BRAZIL,1992.0,5
BRAZIL,1999.0,5
BRAZIL,1998.0,4
BRAZIL,2003.0,4
BRAZIL,2018.0,4
BRAZIL,1993.0,3
BRAZIL,1995.0,3
BRAZIL,1997.0,3
BRAZIL,2006.0,3
BRAZIL,2008.0,3
BRAZIL,1980.0,2
BRAZIL,1996.0,2
BRAZIL,2001.0,2
BRAZIL,2011.0,2
BRAZIL,2016.0,2
BRAZIL,2017.0,2
BRAZIL,1878.0,1
BRAZIL,1884.0,1
BRAZIL,1887.0,1
BRAZIL,1947.0,1
BRAZIL,1974.0,1
